N,P,K,temperature,humidity,ph,rainfall,crop
86,57,26,29.2,71.7,5.5,171.3,Maize
103,64,31,21.7,60.7,5.9,158.0,Maize
36,85,127,20.1,52.9,7.8,82.1,Alfalfa
123,56,107,30.4,54.6,6.3,87.9,Cotton
102,58,43,23.5,69.4,6.3,117.8,Maize
109,53,97,27.9,67.9,6.7,108.1,Cotton
109,59,35,22.7,52.1,6.4,111.3,Wheat
24,69,118,24.4,50.2,6.5,60.9,Alfalfa
86,68,32,20.3,64.4,5.8,147.2,Maize
67,51,44,20.7,67.7,6.7,208.1,Wheat
38,73,131,26.6,60.8,7.0,96.8,Alfalfa
73,52,45,15.9,62.7,6.9,227.2,Wheat
88,38,108,29.2,72.3,7.2,90.8,Cotton
81,42,36,28.3,66.9,6.5,116.3,Maize
103,32,49,24.7,65.6,6.1,184.9,Wheat
28,82,131,22.3,40.6,6.8,87.9,Alfalfa
84,36,38,16.4,66.7,7.2,178.9,Wheat
93,52,34,15.2,68.3,6.1,186.5,Wheat
113,56,29,26.5,76.6,5.8,81.1,Maize
86,54,35,22.3,55.0,6.8,174.1,Wheat
124,56,38,20.5,63.3,6.5,88.3,Maize
120,60,108,28.9,57.2,6.4,124.7,Cotton
22,94,133,22.0,63.9,6.7,83.9,Alfalfa
115,54,44,21.6,76.8,6.6,175.5,Maize
16,68,125,22.7,48.6,7.0,78.9,Alfalfa
102,37,39,19.6,51.5,6.1,100.4,Wheat
20,93,111,21.6,42.3,7.7,59.6,Alfalfa
136,62,41,21.9,70.8,6.6,153.2,Maize
76,52,34,21.9,67.0,6.3,173.4,Wheat
23,85,131,25.1,63.1,6.7,89.8,Alfalfa
86,53,39,27.0,65.9,6.7,177.1,Maize
32,90,129,18.5,51.4,7.2,95.1,Alfalfa
110,63,27,25.6,69.6,6.7,133.0,Maize
134,62,36,25.7,76.1,6.2,146.2,Maize
77,30,45,19.3,67.5,6.5,169.3,Wheat
109,66,37,25.3,78.8,6.5,179.8,Maize
98,64,108,25.4,62.0,6.8,84.5,Cotton
69,59,36,20.2,64.6,6.0,170.1,Wheat
99,52,83,32.2,64.7,6.3,141.9,Cotton
23,74,123,19.2,63.9,7.5,68.1,Alfalfa
75,41,103,29.7,65.3,6.1,149.2,Cotton
22,79,128,24.5,55.2,7.2,66.1,Alfalfa
136,65,33,21.9,75.6,6.0,85.8,Maize
37,68,134,24.0,53.1,6.8,86.1,Alfalfa
96,63,27,28.2,64.5,5.8,133.7,Maize
63,43,34,15.9,67.5,6.3,119.4,Wheat
62,54,31,23.6,66.2,6.8,182.6,Wheat
16,83,114,18.1,57.4,6.6,87.3,Alfalfa
107,42,34,24.9,51.2,7.1,177.4,Wheat
17,93,139,23.7,46.7,7.6,105.8,Alfalfa
97,35,92,33.4,67.4,7.0,115.7,Cotton
139,46,29,28.8,77.4,5.5,162.6,Maize
111,50,31,21.6,76.4,6.6,130.7,Maize
16,91,112,24.2,64.5,7.3,68.2,Alfalfa
93,47,114,26.3,57.1,5.8,98.9,Cotton
107,67,39,29.3,62.1,6.7,148.8,Maize
83,66,41,27.7,74.2,6.1,85.8,Maize
128,52,93,34.7,74.2,7.1,71.7,Cotton
71,36,40,23.2,57.4,7.0,137.9,Wheat
16,93,128,27.4,42.6,7.6,86.9,Alfalfa
88,40,49,23.4,65.5,6.3,119.7,Wheat
31,87,128,27.4,50.5,7.3,77.8,Alfalfa
64,32,30,18.2,64.5,6.9,130.1,Wheat
84,53,41,20.6,59.4,6.7,123.9,Wheat
76,58,37,22.7,66.9,6.9,193.9,Wheat
113,55,103,34.2,65.4,7.2,103.3,Cotton
86,56,36,22.5,71.2,5.8,96.1,Maize
133,60,26,28.0,66.2,6.1,81.2,Maize
109,57,38,29.7,74.4,6.4,155.7,Maize
107,43,87,32.2,68.7,6.0,69.3,Cotton
111,54,40,24.8,64.2,5.9,157.6,Maize
139,40,26,25.3,77.7,5.6,162.5,Maize
101,46,26,29.8,64.0,6.4,162.1,Maize
134,51,41,29.5,62.5,6.7,139.5,Maize
98,38,47,24.4,68.9,6.8,217.5,Wheat
21,70,119,23.5,54.9,7.5,83.7,Alfalfa
23,73,110,25.2,54.8,7.3,83.5,Alfalfa
33,67,128,25.9,56.5,7.1,88.9,Alfalfa
98,61,29,30.0,79.5,6.3,100.0,Maize
36,74,132,26.4,44.4,7.7,79.1,Alfalfa
89,39,83,32.4,69.2,6.7,108.9,Cotton
23,93,135,26.7,62.5,7.0,69.4,Alfalfa
36,71,102,24.2,55.8,7.5,59.2,Alfalfa
105,50,109,26.8,55.9,7.5,76.3,Cotton
97,42,38,17.5,67.4,6.5,177.2,Wheat
79,31,36,16.6,57.8,7.2,138.7,Wheat
64,30,37,21.0,57.9,6.3,135.2,Wheat
82,61,38,23.3,69.0,6.4,94.6,Maize
79,37,40,24.5,55.1,6.4,156.9,Wheat
19,71,136,25.8,57.6,7.1,110.5,Alfalfa
123,66,44,22.7,61.1,6.2,173.7,Maize
60,52,32,19.5,68.7,6.4,176.1,Wheat
91,49,44,29.9,79.3,5.5,175.2,Maize
108,64,31,24.5,70.3,6.1,146.7,Maize
92,64,95,34.4,68.3,6.1,77.0,Cotton
22,88,131,20.3,64.1,6.8,96.3,Alfalfa
25,69,129,23.0,55.4,7.6,89.9,Alfalfa
96,42,104,31.9,66.9,6.2,119.3,Cotton
107,34,38,16.1,63.2,7.2,107.2,Wheat
92,38,45,22.5,51.8,6.3,116.4,Wheat
117,53,28,26.7,76.2,6.5,159.8,Maize
27,70,100,19.2,53.6,6.5,72.7,Alfalfa
127,41,94,32.0,59.7,6.6,81.4,Cotton
94,41,35,15.7,62.1,6.8,192.9,Wheat
88,42,32,25.2,69.6,5.5,114.1,Maize
74,36,116,27.5,61.9,6.5,109.4,Cotton
129,51,35,20.2,63.9,5.5,144.7,Maize
84,59,115,34.3,51.5,7.4,91.6,Cotton
93,68,28,22.6,65.7,5.9,160.3,Maize
22,75,135,25.2,50.0,7.8,107.6,Alfalfa
90,46,36,21.8,70.5,6.4,90.7,Maize
121,63,28,24.2,61.7,6.6,117.4,Maize
101,44,42,21.0,66.4,7.1,134.2,Wheat
74,39,39,24.0,57.1,6.3,217.1,Wheat
103,58,28,24.2,73.4,5.6,142.4,Maize
109,34,44,17.4,67.4,6.6,180.3,Wheat
127,44,39,22.3,64.1,6.3,105.7,Maize
84,31,32,21.0,63.5,6.5,166.9,Wheat
108,40,36,18.4,66.4,6.7,150.6,Wheat
108,47,115,25.9,72.4,6.1,89.1,Cotton
20,63,112,23.2,41.7,7.5,66.4,Alfalfa
67,35,37,21.5,60.7,6.4,150.0,Wheat
81,62,36,26.6,71.2,6.4,126.5,Maize
91,46,115,34.6,65.9,7.1,75.3,Cotton
109,64,40,20.0,66.0,6.8,127.5,Maize
124,62,43,21.5,79.8,6.7,134.0,Maize
89,50,49,21.2,51.8,6.9,119.2,Wheat
81,40,113,25.6,52.9,6.2,90.8,Cotton
80,31,38,20.1,66.5,6.3,241.4,Wheat
134,45,27,27.9,71.5,6.2,119.1,Maize
116,51,117,33.2,59.5,7.3,138.1,Cotton
82,55,31,23.0,61.6,6.0,97.4,Maize
114,57,38,29.8,72.8,6.6,93.3,Maize
112,43,38,21.4,78.0,6.6,111.8,Maize
23,65,124,24.7,43.0,7.1,85.4,Alfalfa
18,71,131,19.2,54.9,7.7,111.3,Alfalfa
65,58,40,21.2,63.0,6.2,109.2,Wheat
16,69,124,18.6,64.9,6.6,98.7,Alfalfa
82,48,38,16.4,52.4,6.4,115.2,Wheat
85,62,112,30.1,74.9,7.2,115.4,Cotton
98,54,115,30.3,60.7,6.0,139.8,Cotton
114,46,38,21.8,67.7,6.8,104.9,Maize
106,60,30,22.6,75.2,5.7,133.5,Maize
72,50,47,21.3,54.0,6.1,106.4,Wheat
94,46,40,19.5,66.9,6.1,173.2,Wheat
103,54,97,29.8,59.4,6.5,101.4,Cotton
101,42,46,24.6,65.7,6.4,203.2,Wheat
117,63,112,33.4,51.0,7.3,101.5,Cotton
37,93,107,27.0,55.9,7.3,54.7,Alfalfa
114,53,84,32.4,62.8,7.0,63.8,Cotton
82,40,30,15.7,51.4,6.0,243.5,Wheat
99,55,43,24.9,69.4,7.1,217.6,Wheat
25,64,104,24.6,59.1,6.8,51.5,Alfalfa
117,62,96,28.0,69.2,6.9,94.4,Cotton
82,56,28,26.2,75.5,6.3,133.0,Maize
129,49,28,22.9,79.6,6.3,138.2,Maize
30,91,131,24.6,43.2,6.9,115.0,Alfalfa
23,84,139,22.3,51.0,7.3,116.0,Alfalfa
99,60,36,22.0,77.7,6.3,108.6,Maize
99,57,118,33.5,73.0,6.2,128.0,Cotton
67,43,37,20.6,53.6,6.1,148.0,Wheat
122,64,37,21.6,62.6,6.4,161.8,Maize
29,82,123,21.4,50.3,7.5,102.0,Alfalfa
36,78,122,24.9,61.8,7.3,103.3,Alfalfa
22,75,107,20.5,58.2,7.8,56.9,Alfalfa
111,36,104,30.6,68.3,6.8,76.9,Cotton
107,42,38,20.5,50.1,6.9,105.3,Wheat
73,43,31,22.6,63.6,6.9,226.3,Wheat
135,58,29,21.2,67.7,6.3,158.0,Maize
114,65,29,26.6,60.0,5.7,82.9,Maize
83,67,37,20.9,71.8,6.1,144.2,Maize
106,50,83,25.5,62.2,6.8,114.2,Cotton
129,53,98,25.6,58.4,7.1,123.7,Cotton
18,78,135,19.2,58.4,6.8,76.0,Alfalfa
87,56,44,25.0,68.7,6.8,163.2,Wheat
89,50,106,31.9,74.8,7.1,126.6,Cotton
95,44,44,23.6,66.7,5.5,82.4,Maize
133,52,30,25.2,66.0,6.7,105.9,Maize
105,58,29,28.4,63.7,6.5,125.8,Maize
95,35,33,15.5,68.1,7.1,217.0,Wheat
75,43,110,34.2,61.8,5.8,85.4,Cotton
109,61,31,22.5,78.1,5.8,107.2,Maize
110,49,37,22.7,63.1,6.6,84.7,Maize
137,50,28,23.2,75.4,5.6,103.7,Maize
125,45,99,26.3,72.1,6.5,134.5,Cotton
83,59,116,34.8,56.4,6.9,77.8,Cotton
118,53,104,34.5,74.2,6.1,62.0,Cotton
63,39,36,21.8,60.9,7.2,134.1,Wheat
127,45,118,32.1,63.6,5.9,101.2,Cotton
69,50,34,24.5,67.0,6.8,169.3,Wheat
120,63,118,30.5,51.6,6.7,132.6,Cotton
114,58,41,22.0,65.2,5.7,113.0,Maize
131,61,39,22.0,77.6,6.6,167.1,Maize
23,87,125,23.6,53.8,6.6,74.1,Alfalfa
102,44,114,26.1,66.4,7.2,94.2,Cotton
19,70,111,23.2,47.2,7.5,90.4,Alfalfa
67,52,38,19.0,68.3,6.6,123.7,Wheat
75,46,81,28.2,71.4,7.3,84.9,Cotton
107,35,107,27.0,54.6,7.3,118.9,Cotton
19,63,129,24.2,42.1,7.6,106.3,Alfalfa
134,55,25,24.2,79.7,6.4,143.5,Maize
97,40,110,31.6,53.2,7.0,68.4,Cotton
94,54,113,27.1,59.5,7.5,90.3,Cotton
97,47,35,22.1,56.3,6.6,223.2,Wheat
78,55,103,29.9,70.7,6.4,75.6,Cotton
87,53,30,17.4,52.8,6.4,167.6,Wheat
90,64,40,25.8,74.8,6.5,164.4,Maize
17,92,119,25.4,42.7,6.9,50.3,Alfalfa
21,65,108,24.6,64.8,6.6,55.4,Alfalfa
18,84,137,21.6,41.7,7.5,78.6,Alfalfa
83,38,91,27.3,70.2,5.9,140.9,Cotton
15,65,126,23.6,42.8,7.1,82.2,Alfalfa
122,42,114,29.1,70.1,6.6,61.6,Cotton
93,48,105,34.7,53.2,7.0,147.5,Cotton
24,78,108,26.4,64.5,7.3,89.1,Alfalfa
124,59,98,33.7,52.8,7.0,108.7,Cotton
86,64,88,25.1,61.7,6.3,113.9,Cotton
23,73,129,24.0,41.6,7.6,111.4,Alfalfa
105,51,38,24.9,62.5,6.6,225.7,Wheat
99,46,114,27.7,69.7,6.8,119.3,Cotton
89,39,82,29.9,68.4,6.7,62.9,Cotton
31,93,123,27.6,40.6,7.4,55.8,Alfalfa
91,53,39,21.4,66.8,5.7,97.1,Maize
97,49,48,17.4,60.2,6.1,157.7,Wheat
62,51,41,24.5,62.0,6.9,175.9,Wheat
20,65,121,20.5,49.0,7.1,53.2,Alfalfa
88,62,80,29.5,61.8,6.9,102.3,Cotton
114,54,92,30.4,71.4,5.9,135.0,Cotton
129,35,105,29.6,61.0,6.2,95.7,Cotton
120,48,29,22.8,76.4,6.2,168.0,Maize
23,72,110,18.4,51.3,7.7,61.6,Alfalfa
113,53,91,33.8,66.8,6.2,120.7,Cotton
104,55,36,24.5,64.4,7.0,100.3,Wheat
124,54,41,26.0,73.7,5.6,118.4,Maize
18,77,136,19.2,50.5,7.5,55.0,Alfalfa
130,54,33,29.4,73.4,6.4,116.2,Maize
27,69,113,24.4,62.8,7.3,111.2,Alfalfa
75,61,81,30.3,70.7,7.5,133.8,Cotton
71,32,40,19.9,61.5,6.1,118.5,Wheat
90,54,35,23.5,63.8,6.5,200.9,Wheat
23,89,133,21.8,51.3,7.3,103.2,Alfalfa
22,70,131,21.7,55.0,7.4,98.2,Alfalfa
16,87,136,24.5,41.1,7.5,116.3,Alfalfa
24,77,127,18.1,49.6,7.5,91.7,Alfalfa
97,34,37,18.6,54.4,7.2,168.1,Wheat
118,47,84,27.3,74.4,6.7,72.2,Cotton
106,53,35,23.9,63.2,5.5,155.6,Maize
35,89,136,26.4,49.3,7.0,83.2,Alfalfa
83,57,33,29.8,65.8,6.7,118.9,Maize
91,45,33,24.8,59.6,6.6,125.3,Wheat
82,48,32,18.0,55.2,6.2,108.6,Wheat
123,60,36,28.3,70.9,5.7,138.3,Maize
94,42,44,23.2,54.1,6.9,210.2,Wheat
119,61,43,22.0,67.9,5.6,127.6,Maize
123,53,106,34.1,68.1,6.7,138.3,Cotton
70,36,34,22.9,55.5,7.1,241.6,Wheat
78,55,45,15.9,65.1,6.6,145.4,Wheat
107,45,112,30.6,61.0,6.8,142.7,Cotton
32,76,113,22.6,51.1,7.3,91.4,Alfalfa
27,94,108,18.6,40.1,7.3,70.9,Alfalfa
88,40,82,29.5,62.8,6.9,143.4,Cotton
119,56,108,25.3,71.8,6.7,116.9,Cotton
75,41,31,18.3,64.7,6.6,219.0,Wheat
33,67,125,26.3,47.4,6.5,101.7,Alfalfa
96,30,44,16.4,65.1,6.9,198.8,Wheat
15,94,101,19.0,50.0,7.4,69.6,Alfalfa
99,40,90,28.5,52.8,7.2,145.3,Cotton
124,68,43,25.2,66.0,5.6,130.1,Maize
139,55,30,20.5,61.5,6.0,109.5,Maize
103,41,82,33.0,73.2,6.5,141.5,Cotton
98,50,36,17.3,62.8,7.2,190.5,Wheat
78,54,46,22.2,67.3,6.5,223.2,Wheat
131,59,42,22.4,74.3,6.6,160.4,Maize
109,43,37,29.2,74.4,6.0,95.9,Maize
97,63,26,27.2,65.4,6.0,90.3,Maize
88,55,47,17.8,64.1,6.1,225.9,Wheat
65,34,41,22.4,56.3,6.1,154.0,Wheat
23,86,133,21.1,59.7,7.7,80.4,Alfalfa
65,45,41,21.8,52.3,6.1,184.7,Wheat
96,59,89,26.4,56.4,7.3,76.5,Cotton
113,45,96,31.8,73.6,6.3,102.8,Cotton
26,76,136,23.0,49.6,7.6,83.3,Alfalfa
87,48,114,28.7,51.3,7.1,97.5,Cotton
95,31,45,18.7,67.4,6.9,197.2,Wheat
114,57,113,28.9,73.3,6.0,126.3,Cotton
123,51,32,24.7,71.6,5.6,84.3,Maize
108,51,39,20.4,52.0,6.8,136.3,Wheat
103,41,41,21.2,68.3,6.1,120.4,Maize
71,51,49,15.1,59.3,7.2,177.9,Wheat
80,59,40,27.7,70.4,6.8,92.6,Maize
101,56,44,23.1,52.4,6.3,102.6,Wheat
84,30,36,18.5,57.4,6.0,145.0,Wheat
82,41,115,33.5,50.6,7.3,130.5,Cotton
67,42,33,24.0,64.2,7.1,190.5,Wheat
74,57,41,15.6,69.2,7.1,217.8,Wheat
89,52,90,34.6,51.9,6.4,80.3,Cotton
76,44,105,33.5,57.9,6.3,148.3,Cotton
109,38,110,31.7,56.5,6.4,142.6,Cotton
123,62,110,32.1,51.6,6.1,60.7,Cotton
110,45,112,34.6,63.2,6.2,105.1,Cotton
105,34,35,17.7,66.1,6.6,182.0,Wheat
90,59,32,16.7,58.9,6.3,107.5,Wheat
76,45,40,22.9,67.1,6.3,244.1,Wheat
73,37,105,30.2,55.5,6.6,142.7,Cotton
37,77,125,18.1,60.7,7.5,74.9,Alfalfa
102,40,45,24.8,65.1,6.2,171.5,Wheat
105,49,109,31.4,66.7,6.1,110.9,Cotton
108,61,36,20.1,60.2,6.0,172.6,Maize
122,60,34,23.2,77.0,6.4,89.5,Maize
86,54,32,23.9,50.0,7.1,123.1,Wheat
16,60,131,23.1,52.0,7.3,56.4,Alfalfa
114,42,41,24.4,65.5,6.3,179.2,Maize
79,50,47,21.6,54.8,6.2,237.7,Wheat
92,44,90,32.5,55.7,7.4,73.3,Cotton
114,43,108,29.3,68.0,6.8,98.5,Cotton
95,53,98,26.4,60.8,7.3,136.1,Cotton
80,43,33,23.2,67.8,6.7,130.7,Wheat
110,50,98,30.9,50.8,6.9,92.8,Cotton
94,42,29,24.6,61.9,6.6,84.8,Maize
103,63,103,28.5,70.6,6.7,101.7,Cotton
82,42,34,18.9,60.9,6.6,188.6,Wheat
123,40,116,32.2,55.0,6.1,60.9,Cotton
72,53,101,32.3,74.2,6.2,119.7,Cotton
23,64,112,22.2,47.6,6.9,99.9,Alfalfa
33,73,135,27.8,58.9,7.0,91.3,Alfalfa
75,56,39,22.1,53.3,6.9,187.6,Wheat
24,81,116,24.0,47.4,7.4,103.1,Alfalfa
128,40,43,23.7,78.7,6.6,149.7,Maize
108,61,85,34.2,67.4,7.0,137.6,Cotton
93,56,38,17.0,56.9,6.4,246.8,Wheat
31,71,100,21.1,52.1,7.2,77.1,Alfalfa
87,51,98,32.8,53.1,7.2,115.4,Cotton
134,43,43,27.1,70.7,6.2,123.0,Maize
86,45,35,16.2,69.2,6.9,242.9,Wheat
128,45,89,33.1,66.9,6.9,88.5,Cotton
130,64,29,20.7,66.3,6.7,165.1,Maize
33,77,115,19.6,44.7,6.5,77.3,Alfalfa
86,41,46,24.3,58.6,7.1,190.8,Wheat
128,35,98,31.8,51.8,6.1,94.3,Cotton
72,49,36,21.3,54.0,6.5,212.6,Wheat
89,63,103,27.8,60.8,7.5,66.1,Cotton
69,46,31,24.7,52.3,6.5,210.7,Wheat
99,48,41,23.5,68.0,5.8,100.5,Maize
94,45,31,17.9,63.1,7.2,190.5,Wheat
29,79,126,22.3,57.4,7.1,56.4,Alfalfa
109,60,26,27.0,67.5,6.2,125.1,Maize
117,40,115,27.5,50.1,6.1,70.5,Cotton
69,50,44,17.1,68.8,6.0,215.8,Wheat
103,64,104,25.5,65.7,6.5,144.3,Cotton
95,48,30,17.2,64.5,6.7,210.9,Wheat
127,45,41,25.0,74.9,5.9,169.0,Maize
84,57,44,17.6,58.7,6.9,101.4,Wheat
97,51,99,27.0,66.3,7.2,64.5,Cotton
116,35,84,25.8,72.8,6.4,98.2,Cotton
137,40,35,25.9,67.4,5.9,168.5,Maize
33,72,102,24.2,58.6,7.5,86.5,Alfalfa
28,76,108,20.1,60.0,6.9,110.6,Alfalfa
96,38,47,22.9,59.1,6.8,137.3,Wheat
107,60,119,29.4,66.2,7.4,65.8,Cotton
101,50,37,23.0,70.1,5.6,129.1,Maize
97,49,80,32.6,60.2,6.9,83.4,Cotton
100,55,29,27.9,78.9,6.5,152.1,Maize
34,78,134,26.1,40.2,7.7,81.0,Alfalfa
102,64,44,28.7,76.6,5.8,160.9,Maize
95,43,39,18.7,55.4,6.3,147.8,Wheat
68,35,48,23.3,57.0,6.6,219.2,Wheat
31,71,122,22.6,50.4,6.5,70.7,Alfalfa
19,82,112,25.2,49.6,7.1,80.1,Alfalfa
22,80,101,23.3,59.7,6.9,87.9,Alfalfa
96,69,35,27.3,77.6,5.7,143.5,Maize
18,93,108,20.1,47.8,6.7,67.1,Alfalfa
33,74,127,23.7,64.7,7.0,102.8,Alfalfa
78,32,39,19.1,65.1,6.2,149.1,Wheat
60,31,45,24.5,63.9,6.6,240.0,Wheat
38,85,116,20.1,49.8,7.7,64.3,Alfalfa
98,50,30,15.2,65.9,6.1,171.1,Wheat
35,91,125,20.5,40.2,7.4,87.5,Alfalfa
88,54,45,17.0,52.5,6.3,179.7,Wheat
78,48,31,19.0,59.7,6.0,161.5,Wheat
99,47,48,17.8,54.2,6.1,171.9,Wheat
39,74,127,23.5,64.5,7.1,85.9,Alfalfa
94,59,34,23.2,64.4,6.0,117.3,Maize
37,63,110,24.6,57.7,6.5,65.2,Alfalfa
128,48,26,27.7,71.0,5.6,156.7,Maize
137,44,40,27.5,76.1,6.2,94.0,Maize
78,41,36,21.6,56.9,6.5,123.8,Wheat
