crop,soil_type,ndvi,moisture,nitrogen_applied,phosphorus_applied,potassium_applied,area_ha,yield_tons_ha
Wheat,Silt Loam,0.49,45.6,124,42,54,12.8,7.87
Maize,Sandy Loam,0.67,50.2,154,82,92,22.4,9.5
Maize,Sandy Loam,0.57,28.8,135,70,87,9.8,7.7
Alfalfa,Silt Loam,0.42,38.7,21,88,93,16.6,5.35
Maize,Silt Loam,0.74,46.5,162,70,74,18.3,9.4
Wheat,Clay Loam,0.78,50.7,108,60,67,22.4,8.81
Wheat,Sandy Loam,0.72,35.2,123,63,81,16.9,8.19
Wheat,Sandy Loam,0.55,47.7,142,57,89,15.1,8.71
Alfalfa,Clay Loam,0.75,46.4,39,63,113,7.5,6.1
Cotton,Sandy Loam,0.43,40.7,128,45,114,14.3,4.84
Cotton,Sandy Loam,0.51,46.2,132,46,83,21.3,5.17
Wheat,Clay Loam,0.69,54.6,155,63,88,17.2,8.96
Maize,Silt Loam,0.42,47.9,178,81,65,23.4,7.94
Cotton,Sandy Loam,0.59,54.8,112,58,118,18.8,6.4
Wheat,Sandy Loam,0.76,33.4,128,45,58,7.8,8.42
Wheat,Clay Loam,0.36,35.8,155,54,89,18.0,6.74
Wheat,Silt Loam,0.38,32.4,145,63,68,16.3,7.31
Maize,Clay Loam,0.51,34.9,138,82,66,24.0,7.34
Wheat,Silt Loam,0.47,17.0,157,47,61,21.5,6.94
Maize,Silt Loam,0.35,24.4,198,83,104,5.2,7.24
Maize,Silt Loam,0.37,16.5,176,72,106,2.6,6.78
Wheat,Sandy Loam,0.61,43.5,154,64,75,8.3,8.72
Wheat,Silt Loam,0.7,46.2,104,63,58,9.6,8.82
Maize,Silt Loam,0.69,49.9,183,79,77,11.9,9.37
Alfalfa,Silt Loam,0.57,43.6,25,80,127,22.0,5.62
Wheat,Sandy Loam,0.56,28.2,156,62,86,4.1,8.15
Cotton,Sandy Loam,0.76,17.7,98,40,82,5.9,5.32
Wheat,Sandy Loam,0.46,30.3,118,69,72,14.5,7.81
Alfalfa,Silt Loam,0.72,35.4,21,92,117,4.4,5.6
Cotton,Silt Loam,0.45,52.6,130,48,88,14.0,5.49
Alfalfa,Silt Loam,0.55,27.4,45,73,127,7.8,4.98
Cotton,Sandy Loam,0.57,41.1,95,59,110,21.7,5.35
Wheat,Silt Loam,0.8,15.4,136,49,66,17.6,8.21
Alfalfa,Silt Loam,0.59,37.5,45,68,95,15.7,5.27
Wheat,Silt Loam,0.52,22.4,157,43,57,17.6,7.44
Maize,Clay Loam,0.81,31.2,197,63,107,6.8,8.95
Alfalfa,Clay Loam,0.8,25.3,24,87,113,23.4,5.95
Maize,Silt Loam,0.4,37.9,126,66,81,2.5,7.28
Maize,Sandy Loam,0.45,36.0,198,65,64,14.8,8.0
Wheat,Clay Loam,0.82,43.7,142,40,78,19.6,9.27
Wheat,Clay Loam,0.82,23.6,140,51,68,3.7,8.82
Alfalfa,Sandy Loam,0.53,27.7,47,96,136,22.6,5.37
Cotton,Silt Loam,0.62,32.8,115,49,96,15.0,5.21
Wheat,Silt Loam,0.42,15.1,108,61,72,7.6,7.06
Alfalfa,Clay Loam,0.46,23.2,30,99,96,6.2,5.54
Cotton,Silt Loam,0.83,38.9,102,46,119,2.3,6.03
Maize,Clay Loam,0.57,26.9,164,67,83,12.5,8.31
Maize,Sandy Loam,0.83,22.7,175,61,91,22.3,8.77
Cotton,Silt Loam,0.71,29.8,139,42,80,6.2,5.19
Maize,Clay Loam,0.77,28.1,199,76,100,18.7,8.8
Maize,Sandy Loam,0.73,53.9,197,74,95,2.9,9.08
Maize,Sandy Loam,0.51,18.8,129,73,93,24.9,7.25
Wheat,Silt Loam,0.58,22.1,108,55,54,16.6,7.25
Maize,Clay Loam,0.78,34.3,171,66,96,20.0,9.28
Wheat,Sandy Loam,0.66,16.8,155,68,89,19.3,8.2
Alfalfa,Clay Loam,0.61,25.5,29,69,118,18.6,5.25
Cotton,Clay Loam,0.73,16.2,108,60,100,8.5,5.05
Wheat,Clay Loam,0.7,24.1,106,56,50,20.3,7.97
Wheat,Clay Loam,0.82,24.0,147,61,54,25.0,8.38
Maize,Sandy Loam,0.68,47.3,163,80,93,5.8,9.19
Cotton,Clay Loam,0.81,43.3,131,53,88,18.6,6.22
Wheat,Clay Loam,0.7,41.9,157,69,88,6.5,8.51
Cotton,Sandy Loam,0.7,40.8,121,55,90,11.4,5.55
Cotton,Sandy Loam,0.62,46.1,114,42,114,9.4,5.68
Maize,Clay Loam,0.7,38.1,191,69,101,22.5,8.75
Cotton,Sandy Loam,0.76,41.2,130,52,117,13.7,6.04
Wheat,Silt Loam,0.46,19.9,152,57,65,10.4,7.38
Maize,Sandy Loam,0.68,34.0,120,81,108,21.7,8.09
Alfalfa,Clay Loam,0.41,49.2,37,61,136,15.5,5.15
Wheat,Sandy Loam,0.66,46.7,110,44,81,8.5,8.22
Cotton,Silt Loam,0.63,31.5,101,64,96,12.6,5.55
Maize,Silt Loam,0.45,40.8,169,67,75,21.5,7.99
Alfalfa,Clay Loam,0.85,44.8,22,78,134,19.0,6.23
Cotton,Clay Loam,0.54,18.2,105,59,103,10.9,4.72
Alfalfa,Silt Loam,0.38,26.4,49,89,123,20.8,4.72
Cotton,Clay Loam,0.5,34.8,96,64,98,5.0,5.29
Cotton,Silt Loam,0.64,46.6,127,43,84,17.1,5.69
Wheat,Clay Loam,0.43,22.2,159,47,74,12.0,7.01
Alfalfa,Sandy Loam,0.78,18.1,26,73,104,4.4,5.72
Maize,Silt Loam,0.36,45.0,154,72,101,6.9,8.13
Wheat,Sandy Loam,0.47,25.2,102,47,89,2.7,7.0
Alfalfa,Sandy Loam,0.8,22.9,32,68,100,2.6,6.04
Alfalfa,Sandy Loam,0.81,53.0,46,94,104,21.0,6.84
Cotton,Clay Loam,0.79,49.4,99,49,113,11.3,5.89
Cotton,Sandy Loam,0.51,35.9,100,57,117,13.2,4.99
Alfalfa,Clay Loam,0.82,24.9,45,95,117,17.4,6.25
Maize,Sandy Loam,0.48,45.4,195,79,90,14.9,8.49
Alfalfa,Clay Loam,0.44,38.9,27,74,126,21.2,5.44
Alfalfa,Silt Loam,0.63,36.3,29,78,120,5.2,5.37
Alfalfa,Silt Loam,0.69,54.7,45,88,111,4.1,6.43
Maize,Clay Loam,0.48,50.0,148,81,69,23.3,8.29
Wheat,Silt Loam,0.58,37.7,156,40,55,5.4,8.05
Alfalfa,Silt Loam,0.59,22.6,45,71,111,2.4,5.05
Maize,Silt Loam,0.83,50.5,180,83,98,8.0,9.82
Wheat,Clay Loam,0.37,30.5,107,40,67,11.3,7.02
Wheat,Sandy Loam,0.42,38.8,132,62,89,12.3,8.09
Wheat,Sandy Loam,0.71,45.2,137,68,71,4.0,8.86
Maize,Clay Loam,0.39,27.0,151,70,63,7.2,7.08
Cotton,Silt Loam,0.83,32.7,123,43,98,20.3,5.63
Alfalfa,Silt Loam,0.85,28.2,28,82,125,10.8,6.0
Wheat,Silt Loam,0.63,33.0,144,46,61,16.9,8.23
Alfalfa,Silt Loam,0.51,43.0,49,63,103,21.0,5.21
Cotton,Sandy Loam,0.53,53.8,118,42,90,9.3,5.09
Wheat,Silt Loam,0.45,16.2,156,51,62,12.0,7.3
Cotton,Clay Loam,0.61,45.2,125,60,91,12.1,5.89
Wheat,Silt Loam,0.71,48.4,157,53,55,11.2,8.5
Wheat,Sandy Loam,0.78,44.7,105,45,69,23.8,8.28
Maize,Sandy Loam,0.74,19.9,149,63,96,4.7,8.3
Alfalfa,Clay Loam,0.58,28.9,26,80,105,21.8,4.96
Maize,Silt Loam,0.77,27.4,148,53,108,23.7,9.04
Cotton,Silt Loam,0.51,48.4,129,45,101,19.5,5.11
Alfalfa,Silt Loam,0.39,48.7,42,71,99,18.5,5.31
Maize,Sandy Loam,0.65,29.9,135,58,106,8.4,7.76
Cotton,Clay Loam,0.63,30.3,108,54,109,9.5,5.19
Maize,Sandy Loam,0.69,44.8,167,53,96,21.2,8.91
Alfalfa,Clay Loam,0.51,34.5,39,87,102,23.6,5.5
Wheat,Sandy Loam,0.73,54.5,105,66,74,2.2,8.59
Wheat,Clay Loam,0.38,32.1,102,56,75,23.4,7.14
Alfalfa,Sandy Loam,0.7,25.8,27,78,127,8.8,5.47
Maize,Silt Loam,0.65,19.4,186,80,70,16.4,7.71
Maize,Sandy Loam,0.69,15.8,128,77,78,13.5,7.29
Maize,Silt Loam,0.83,28.9,157,60,106,10.0,9.4
Wheat,Clay Loam,0.64,15.0,120,40,74,22.7,7.98
Wheat,Sandy Loam,0.49,27.1,154,69,64,16.1,7.53
Cotton,Silt Loam,0.45,28.0,137,46,92,16.6,4.69
Cotton,Silt Loam,0.42,27.0,104,42,86,8.5,4.27
Maize,Sandy Loam,0.48,24.8,157,81,85,24.2,7.65
Maize,Silt Loam,0.66,24.0,185,67,82,22.8,8.15
Wheat,Silt Loam,0.58,20.3,100,41,53,17.3,7.56
Maize,Clay Loam,0.83,20.7,140,72,91,18.3,8.91
Cotton,Silt Loam,0.5,17.3,130,57,114,5.3,4.44
Wheat,Silt Loam,0.82,39.1,136,48,83,15.3,9.66
Maize,Silt Loam,0.57,19.6,165,84,60,21.2,7.68
Maize,Sandy Loam,0.51,22.1,146,65,69,21.8,7.53
Cotton,Sandy Loam,0.71,47.0,116,42,91,13.4,5.76
Maize,Clay Loam,0.55,15.2,170,76,67,8.3,7.52
Cotton,Silt Loam,0.41,51.9,119,62,97,19.3,5.3
Wheat,Clay Loam,0.42,23.8,109,49,86,15.3,6.8
Maize,Clay Loam,0.45,50.3,163,51,61,18.3,8.13
Maize,Silt Loam,0.71,29.0,150,80,61,9.2,8.2
Alfalfa,Clay Loam,0.43,41.1,41,82,112,16.1,5.46
Cotton,Clay Loam,0.62,20.9,107,48,85,12.4,5.07
Alfalfa,Silt Loam,0.65,22.7,26,79,99,15.4,5.31
Cotton,Sandy Loam,0.4,31.6,96,48,114,9.0,4.6
Maize,Clay Loam,0.48,45.5,178,55,61,7.9,8.35
Wheat,Silt Loam,0.35,34.0,119,48,72,6.4,6.99
Wheat,Sandy Loam,0.83,40.4,133,55,69,22.4,9.08
Alfalfa,Silt Loam,0.67,37.2,26,84,92,18.2,5.68
Alfalfa,Clay Loam,0.76,25.7,28,96,129,8.4,5.66
Cotton,Sandy Loam,0.58,37.4,128,64,111,5.3,5.79
Wheat,Sandy Loam,0.82,42.3,109,55,55,8.0,9.25
Cotton,Clay Loam,0.84,46.3,106,54,115,15.2,6.24
Cotton,Silt Loam,0.63,38.1,124,41,106,5.8,5.88
Wheat,Sandy Loam,0.82,26.7,147,50,59,11.6,8.64
Wheat,Sandy Loam,0.38,30.9,120,40,64,8.2,7.34
Cotton,Sandy Loam,0.79,21.4,128,62,81,9.8,4.69
Maize,Sandy Loam,0.53,30.9,186,56,95,6.0,8.38
Cotton,Silt Loam,0.38,37.8,129,50,94,19.4,4.6
Cotton,Clay Loam,0.45,18.8,134,41,111,4.7,4.41
Cotton,Sandy Loam,0.62,44.7,114,43,86,9.8,5.19
Maize,Sandy Loam,0.59,33.0,199,54,78,11.7,8.68
Wheat,Clay Loam,0.58,45.4,136,57,69,14.1,8.53
Cotton,Silt Loam,0.52,28.5,120,61,85,4.8,4.61
Alfalfa,Clay Loam,0.6,19.0,45,90,96,19.4,5.47
Wheat,Silt Loam,0.49,46.3,156,68,63,5.5,8.4
Maize,Silt Loam,0.53,44.6,171,63,95,13.7,7.48
Alfalfa,Clay Loam,0.83,27.8,24,63,100,13.0,5.53
Alfalfa,Sandy Loam,0.68,30.4,30,93,116,21.2,5.83
Wheat,Silt Loam,0.67,52.5,129,60,84,5.0,8.8
Wheat,Sandy Loam,0.83,16.0,153,69,81,20.1,8.65
Alfalfa,Silt Loam,0.63,26.0,45,98,135,3.5,5.09
Cotton,Sandy Loam,0.49,18.1,95,40,91,5.3,4.41
Wheat,Sandy Loam,0.73,48.4,107,61,89,4.8,9.04
Cotton,Sandy Loam,0.4,29.1,139,64,89,11.3,4.4
Alfalfa,Sandy Loam,0.6,53.0,40,88,120,19.5,6.07
Wheat,Silt Loam,0.54,36.5,157,48,75,22.5,7.67
Maize,Silt Loam,0.7,53.0,133,62,100,3.8,8.61
Maize,Silt Loam,0.41,38.1,185,83,85,10.4,7.27
Alfalfa,Clay Loam,0.72,26.3,25,84,98,20.7,6.03
Wheat,Clay Loam,0.64,45.9,108,62,88,23.3,7.92
Wheat,Silt Loam,0.41,22.2,120,51,84,24.3,6.88
Alfalfa,Silt Loam,0.42,40.4,37,82,122,23.8,5.22
Maize,Sandy Loam,0.78,19.7,194,62,92,17.9,8.39
Wheat,Clay Loam,0.73,21.6,127,42,69,19.3,8.46
Maize,Sandy Loam,0.84,22.7,120,55,70,20.9,8.04
Wheat,Clay Loam,0.59,33.0,117,59,78,18.3,8.11
Wheat,Clay Loam,0.5,27.9,100,45,68,12.1,7.61
Wheat,Silt Loam,0.82,49.7,146,45,51,9.7,9.17
Wheat,Clay Loam,0.39,47.7,107,46,74,22.0,7.06
Cotton,Silt Loam,0.36,15.9,104,49,113,2.2,4.46
Cotton,Silt Loam,0.84,27.2,137,60,105,4.9,5.41
Wheat,Clay Loam,0.84,43.2,136,63,82,18.4,9.1
Cotton,Sandy Loam,0.67,47.7,103,58,86,2.1,5.38
Cotton,Silt Loam,0.38,41.9,106,56,107,24.9,5.58
Maize,Silt Loam,0.68,50.8,148,68,86,15.3,9.03
Maize,Clay Loam,0.63,23.9,180,76,95,19.4,8.05
Cotton,Silt Loam,0.44,47.2,129,46,118,5.0,5.38
Maize,Sandy Loam,0.58,55.0,145,56,66,21.3,8.87
Wheat,Clay Loam,0.77,25.4,109,56,87,4.2,8.52
Alfalfa,Silt Loam,0.8,47.6,27,90,137,9.2,5.92
Alfalfa,Clay Loam,0.73,37.5,27,73,117,4.8,5.72
Wheat,Clay Loam,0.76,43.3,132,63,73,13.0,9.21
Alfalfa,Silt Loam,0.71,43.1,35,62,138,18.5,6.13
Wheat,Silt Loam,0.82,47.1,116,41,66,11.8,8.67
Cotton,Sandy Loam,0.7,15.2,135,48,102,12.8,5.51
Alfalfa,Clay Loam,0.53,32.8,28,76,110,3.5,5.04
Cotton,Clay Loam,0.38,50.8,115,50,103,17.9,5.33
Wheat,Sandy Loam,0.7,45.3,121,54,86,19.9,9.19
Cotton,Sandy Loam,0.56,49.3,126,55,97,18.6,5.66
Alfalfa,Clay Loam,0.4,54.2,29,73,136,8.8,5.47
Cotton,Silt Loam,0.47,42.6,113,46,92,15.0,4.81
Cotton,Sandy Loam,0.56,18.7,111,51,111,13.1,4.73
Alfalfa,Clay Loam,0.48,45.1,28,99,102,10.5,5.5
Maize,Sandy Loam,0.69,15.8,172,83,62,4.7,8.12
Cotton,Sandy Loam,0.69,53.2,91,51,106,13.8,6.08
Wheat,Silt Loam,0.62,33.1,147,63,59,22.2,8.21
Wheat,Clay Loam,0.69,49.9,150,50,66,10.6,8.78
Wheat,Clay Loam,0.75,41.5,130,59,76,5.5,9.21
Cotton,Sandy Loam,0.55,38.6,94,48,86,8.3,5.35
Maize,Clay Loam,0.55,16.2,183,79,81,24.3,7.72
Wheat,Sandy Loam,0.8,42.2,125,42,89,18.6,8.98
Maize,Clay Loam,0.75,19.6,181,64,85,23.3,8.72
Maize,Clay Loam,0.48,23.2,164,51,73,8.1,7.92
Cotton,Silt Loam,0.75,26.9,103,41,111,13.7,5.31
Alfalfa,Silt Loam,0.7,25.1,43,60,133,24.0,5.59
Cotton,Silt Loam,0.47,49.0,91,46,113,14.8,5.53
Cotton,Clay Loam,0.58,46.7,135,50,115,2.6,5.64
Cotton,Sandy Loam,0.61,51.0,135,62,90,18.7,5.62
Cotton,Clay Loam,0.46,15.7,111,44,114,15.2,5.01
Alfalfa,Clay Loam,0.56,28.3,25,66,122,24.5,5.36
Maize,Sandy Loam,0.38,31.7,128,84,82,7.7,6.79
Maize,Clay Loam,0.69,16.3,136,73,61,15.5,7.82
Alfalfa,Clay Loam,0.38,17.8,40,68,127,12.1,4.21
Alfalfa,Silt Loam,0.66,22.5,29,76,125,6.1,5.26
Maize,Silt Loam,0.53,19.7,133,57,61,2.7,7.34
Cotton,Sandy Loam,0.5,32.1,109,61,115,6.3,5.0
Alfalfa,Sandy Loam,0.76,54.8,43,67,116,3.8,6.63
Cotton,Sandy Loam,0.5,47.9,128,63,97,5.5,5.32
Alfalfa,Sandy Loam,0.64,38.1,49,93,111,6.8,5.67
Cotton,Clay Loam,0.41,28.9,99,52,80,19.5,4.21
Maize,Silt Loam,0.4,38.5,177,70,80,12.4,8.27
Maize,Clay Loam,0.74,44.5,140,56,66,17.9,8.91
Alfalfa,Silt Loam,0.75,23.6,21,66,136,9.5,5.25
Maize,Sandy Loam,0.66,36.9,180,62,75,7.3,8.68
Cotton,Sandy Loam,0.73,37.1,127,46,105,10.3,5.65
Maize,Silt Loam,0.61,47.4,172,52,78,14.7,8.59
Wheat,Clay Loam,0.67,47.8,104,46,55,3.4,8.37
Cotton,Sandy Loam,0.81,48.9,134,50,87,13.0,6.24
Cotton,Clay Loam,0.44,41.3,106,62,102,24.4,5.14
Cotton,Silt Loam,0.47,39.7,92,58,88,13.7,5.2
Maize,Clay Loam,0.41,15.2,176,64,84,17.6,6.78
Cotton,Silt Loam,0.54,33.6,129,56,104,12.7,5.13
Maize,Clay Loam,0.66,54.1,173,74,88,4.6,9.37
Maize,Sandy Loam,0.61,45.5,126,65,73,2.9,8.12
Cotton,Clay Loam,0.42,50.2,90,46,80,13.7,4.78
Wheat,Clay Loam,0.35,42.7,153,53,53,9.4,7.63
Alfalfa,Silt Loam,0.76,54.3,29,94,118,11.5,6.56
Maize,Silt Loam,0.66,19.8,128,70,90,23.3,7.55
Cotton,Silt Loam,0.51,30.6,113,48,90,19.0,4.9
Maize,Silt Loam,0.71,40.8,123,59,65,24.7,8.54
Wheat,Sandy Loam,0.39,15.5,157,68,81,11.8,6.57
Maize,Silt Loam,0.6,39.0,188,73,86,4.2,8.46
Cotton,Sandy Loam,0.52,40.0,123,59,111,22.9,5.49
Cotton,Sandy Loam,0.69,29.0,126,55,94,9.2,5.09
Wheat,Silt Loam,0.55,33.4,117,64,57,22.9,7.49
Cotton,Sandy Loam,0.64,43.0,118,62,112,17.1,5.84
Cotton,Silt Loam,0.79,53.3,117,40,118,9.9,6.24
Wheat,Clay Loam,0.52,48.8,158,57,82,23.7,8.35
Cotton,Silt Loam,0.74,17.6,100,40,98,6.5,4.94
Alfalfa,Silt Loam,0.46,47.4,28,67,115,19.8,5.01
Maize,Silt Loam,0.52,40.3,191,64,93,3.2,8.11
Wheat,Silt Loam,0.77,17.0,120,43,65,11.1,8.54
Wheat,Silt Loam,0.78,49.6,120,55,88,17.9,8.96
Alfalfa,Sandy Loam,0.63,33.1,20,87,125,2.4,5.72
Cotton,Clay Loam,0.69,52.6,101,48,86,17.3,6.22
Cotton,Clay Loam,0.35,25.4,106,42,80,14.4,3.76
Alfalfa,Sandy Loam,0.62,22.6,29,64,108,6.3,5.31
Cotton,Sandy Loam,0.84,20.7,132,41,112,4.3,5.69
Wheat,Sandy Loam,0.53,54.1,124,63,78,12.0,8.46
Maize,Clay Loam,0.63,35.7,143,73,66,21.8,7.9
Maize,Clay Loam,0.79,37.5,166,64,103,7.8,9.14
Maize,Clay Loam,0.77,39.6,150,65,100,23.0,9.03
Maize,Clay Loam,0.76,16.7,139,51,95,11.7,8.01
Cotton,Sandy Loam,0.39,44.2,118,54,106,22.0,5.33
Wheat,Silt Loam,0.85,46.1,105,65,50,8.8,8.97
Cotton,Silt Loam,0.7,42.2,107,48,98,8.7,5.47
Maize,Clay Loam,0.46,30.0,134,64,109,8.3,6.82
Maize,Silt Loam,0.46,30.7,176,54,61,3.5,7.34
Alfalfa,Sandy Loam,0.52,20.4,37,84,109,3.7,5.29
Alfalfa,Silt Loam,0.75,15.7,21,75,119,6.3,5.55
Alfalfa,Silt Loam,0.83,23.1,43,89,126,21.9,6.02
Alfalfa,Silt Loam,0.57,33.7,42,63,122,24.7,4.91
Maize,Clay Loam,0.77,40.9,137,80,89,11.3,8.68
Wheat,Clay Loam,0.68,17.1,112,43,70,9.2,7.63
Wheat,Clay Loam,0.62,49.0,144,62,54,3.1,8.95
Maize,Sandy Loam,0.56,47.0,132,73,90,9.0,8.51
Cotton,Silt Loam,0.59,20.4,109,54,105,8.7,5.41
Wheat,Clay Loam,0.79,38.4,122,60,50,19.9,8.94
Alfalfa,Silt Loam,0.54,46.2,24,74,127,18.7,5.58
Alfalfa,Silt Loam,0.43,29.8,43,78,115,4.3,4.94
Wheat,Silt Loam,0.75,51.6,151,61,52,19.4,9.12
Maize,Silt Loam,0.82,43.7,161,80,85,22.3,9.59
Maize,Sandy Loam,0.6,26.0,199,82,62,12.9,7.46
Maize,Clay Loam,0.58,39.1,133,71,86,22.6,7.84
Alfalfa,Silt Loam,0.37,25.4,29,88,129,8.4,4.86
Cotton,Sandy Loam,0.78,52.6,131,43,88,6.6,5.87
Maize,Clay Loam,0.65,18.2,132,69,95,8.6,7.67
Cotton,Silt Loam,0.71,37.7,93,47,111,24.5,5.67
Wheat,Sandy Loam,0.52,31.4,117,52,89,5.8,7.5
Alfalfa,Clay Loam,0.58,26.6,38,84,134,7.4,5.37
Alfalfa,Sandy Loam,0.47,31.1,26,67,121,18.5,5.13
Maize,Clay Loam,0.78,21.4,150,83,97,13.1,8.63
Wheat,Clay Loam,0.78,41.4,155,53,57,18.6,8.73
Wheat,Silt Loam,0.72,30.9,146,56,53,6.8,8.74
Maize,Silt Loam,0.44,42.3,128,83,95,11.8,7.15
Cotton,Sandy Loam,0.49,44.3,131,47,112,4.5,5.5
Maize,Sandy Loam,0.42,50.1,178,77,105,6.2,7.77
Alfalfa,Sandy Loam,0.57,18.7,46,88,138,23.1,4.95
Cotton,Silt Loam,0.39,48.5,94,43,110,16.1,5.33
Maize,Silt Loam,0.55,37.4,138,51,61,17.8,8.22
Alfalfa,Clay Loam,0.81,44.9,25,92,138,17.3,6.48
Cotton,Sandy Loam,0.51,15.8,114,54,112,4.5,4.76
Cotton,Silt Loam,0.38,41.3,103,47,113,21.3,4.83
Alfalfa,Clay Loam,0.56,39.5,43,78,101,19.5,5.42
Cotton,Clay Loam,0.5,21.5,106,42,108,20.9,4.63
Wheat,Sandy Loam,0.45,44.3,154,60,75,16.1,8.1
