temp_max,temp_min,humidity,wind_speed,precipitation,evapotranspiration_et0,soil_moisture_prev,soil_moisture_target
27.3,17.9,35.7,10.3,0.0,3.04,52.5,47.9
27.6,15.8,56.4,10.8,0.0,2.48,22.6,18.8
34.8,26.1,70.2,8.6,0.0,2.75,52.1,47.9
28.9,18.3,44.3,20.3,0.0,3.76,49.0,43.3
22.4,13.6,50.1,7.2,0.0,1.76,17.3,14.6
39.2,26.6,41.9,14.7,0.0,4.62,47.6,40.7
30.0,21.8,45.1,14.3,0.0,3.4,54.7,49.6
25.6,13.3,81.5,5.2,0.0,1.04,35.7,34.1
35.6,24.0,84.2,10.8,0.0,2.61,25.6,21.6
30.7,16.9,72.1,11.3,0.0,2.43,17.2,13.6
27.3,15.0,61.4,14.4,0.0,2.59,32.9,29.0
22.5,11.9,79.6,22.1,0.0,2.08,16.0,12.9
34.7,22.3,46.2,14.5,0.0,3.94,40.9,35.0
29.0,17.3,39.9,9.0,0.0,3.0,25.8,21.3
28.2,17.0,79.5,20.6,17.9,2.65,37.7,48.1
31.5,19.4,40.8,24.6,0.0,4.53,31.5,24.7
34.0,24.7,64.9,5.6,0.0,2.58,48.6,44.8
38.2,28.6,59.7,15.6,0.0,4.03,25.3,19.2
36.1,26.6,80.1,15.6,0.0,3.17,28.1,23.3
38.1,29.5,72.2,12.7,0.0,3.43,22.5,17.4
22.4,10.4,62.3,17.4,0.0,2.21,25.8,22.5
38.6,26.0,48.5,17.8,0.0,4.6,55.0,48.1
22.1,9.2,49.3,19.4,0.0,2.73,42.3,38.2
34.9,24.5,58.2,19.5,0.0,4.01,15.6,10.0
22.3,10.3,76.6,20.7,0.0,2.03,36.2,33.2
26.7,12.7,44.3,13.3,0.0,2.94,54.4,50.0
23.0,13.2,61.3,17.4,17.3,2.31,38.8,49.1
38.6,29.2,40.7,20.9,0.0,5.07,50.6,43.0
37.6,29.0,45.3,10.2,0.0,3.97,36.9,31.0
24.2,14.5,78.0,21.9,0.0,2.32,32.5,29.0
34.8,25.2,39.9,5.4,0.0,3.42,42.2,37.1
40.1,31.3,80.5,11.9,0.0,3.35,31.4,26.4
30.2,20.6,68.4,20.2,0.0,3.18,30.4,25.6
37.3,25.5,82.7,13.5,0.0,3.07,48.3,43.7
37.5,29.4,57.4,15.6,9.2,4.03,58.0,59.3
30.5,21.4,58.2,5.7,0.0,2.37,41.7,38.2
29.2,16.6,37.5,22.6,0.0,4.18,15.1,10.0
38.9,27.8,55.4,9.8,0.0,3.78,57.8,52.1
26.2,17.1,43.3,16.0,0.0,3.13,40.8,36.1
26.9,16.2,51.5,5.9,0.0,2.15,20.7,17.4
38.8,27.6,76.5,24.1,0.0,4.3,19.5,13.1
40.9,28.1,72.8,6.8,24.4,3.27,24.6,39.2
25.4,15.2,80.2,14.5,0.0,1.8,30.0,27.3
26.5,15.6,63.9,12.8,0.0,2.29,24.8,21.4
27.5,15.5,50.3,6.6,10.6,2.32,56.6,61.6
29.6,21.2,53.0,18.4,0.0,3.43,27.5,22.4
35.8,24.0,39.5,8.2,0.0,3.77,44.7,39.0
41.2,30.7,72.1,7.3,0.0,3.37,43.5,38.4
34.6,25.7,32.2,19.0,4.9,4.71,23.4,20.3
24.0,12.2,53.2,10.3,0.0,2.1,53.0,49.8
40.5,29.6,61.2,10.1,0.0,3.84,48.7,42.9
31.8,22.0,62.0,23.9,0.0,3.88,49.6,43.8
27.5,18.1,76.1,8.6,0.0,1.71,34.8,32.2
31.4,20.6,79.5,6.7,0.0,1.92,52.6,49.7
40.9,30.1,57.5,24.2,0.0,5.12,37.7,30.0
28.6,20.5,53.8,18.1,0.0,3.27,15.3,10.4
38.0,27.1,58.6,24.2,0.0,4.74,49.3,42.2
33.5,21.3,53.0,10.6,0.0,3.28,31.9,27.0
26.5,13.4,56.2,21.9,0.0,3.25,40.1,35.2
41.9,28.2,44.9,22.4,0.0,5.47,18.2,10.0
33.5,19.7,83.6,7.5,0.0,2.12,51.1,47.9
29.4,17.4,56.8,9.6,0.0,2.58,26.8,23.0
28.8,19.7,69.6,14.2,0.0,2.5,42.2,38.5
25.1,11.8,55.6,12.3,5.9,2.34,56.4,57.6
31.1,18.8,34.4,17.9,0.0,4.13,28.5,22.3
33.6,19.9,69.6,6.2,0.0,2.44,18.9,15.2
39.2,27.5,82.6,5.4,0.0,2.66,19.7,15.7
29.0,20.0,48.1,21.4,12.9,3.75,56.5,61.2
42.0,32.5,81.5,10.2,0.0,3.41,54.5,49.4
37.7,24.6,74.0,9.7,0.0,3.08,32.3,27.7
31.2,22.3,47.4,22.2,0.0,4.09,42.5,36.3
32.0,19.7,63.5,24.7,12.3,3.91,56.3,60.3
40.3,29.3,37.4,21.3,0.0,5.42,49.8,41.7
31.3,22.0,31.3,16.2,6.3,4.11,34.6,33.5
30.8,21.2,37.3,23.9,10.1,4.5,28.7,30.0
39.3,28.9,36.8,5.2,0.0,4.03,47.2,41.1
30.4,21.6,50.4,16.8,0.0,3.47,18.5,13.3
33.1,23.5,63.9,18.0,0.0,3.49,33.5,28.2
32.8,23.1,45.8,5.9,0.0,3.03,17.9,13.3
41.3,29.5,39.5,7.3,0.0,4.35,28.8,22.3
27.6,16.8,80.2,16.4,0.0,2.21,51.3,48.0
22.1,12.9,57.3,19.1,0.0,2.46,22.4,18.7
40.6,30.6,73.4,22.8,0.0,4.5,53.0,46.3
36.2,22.8,43.8,23.6,20.3,4.92,34.6,43.4
25.6,17.1,51.4,12.8,0.0,2.55,24.7,20.9
30.0,19.5,54.3,22.4,0.0,3.76,15.9,10.3
32.4,19.8,33.1,13.5,0.0,3.97,57.9,52.0
31.5,19.0,46.7,20.6,0.0,4.03,34.4,28.3
31.6,18.0,32.9,8.9,0.0,3.52,41.0,35.7
27.0,17.3,50.2,14.0,0.0,2.86,15.6,11.3
40.0,29.5,42.7,15.2,0.0,4.73,17.0,10.0
36.3,23.8,39.1,8.4,0.0,3.85,50.8,45.1
27.4,14.7,59.7,20.3,0.0,3.13,30.1,25.4
40.2,27.9,56.6,17.7,0.0,4.55,31.1,24.3
30.5,20.6,85.0,16.6,13.9,2.44,17.2,24.7
27.8,17.1,59.4,24.5,0.0,3.51,19.4,14.1
32.8,19.9,43.1,20.0,0.0,4.24,44.8,38.5
28.6,15.0,78.6,19.3,0.0,2.61,50.6,46.7
28.3,18.8,58.3,24.9,0.0,3.64,47.8,42.4
31.0,21.2,77.1,16.4,0.0,2.72,36.9,32.9
37.1,23.9,51.5,5.3,0.0,3.33,56.2,51.2
35.8,23.3,47.9,19.0,0.0,4.38,23.0,16.5
41.4,31.2,48.1,12.4,16.4,4.51,25.7,32.1
38.1,27.7,55.2,17.9,0.0,4.35,25.4,18.9
41.3,29.6,30.3,13.3,0.0,5.11,51.4,43.7
28.1,18.1,33.9,10.7,0.0,3.21,43.6,38.7
23.6,14.9,50.7,19.9,0.0,2.9,15.7,11.3
28.6,18.0,80.1,15.0,0.0,2.23,32.6,29.2
30.7,18.7,32.3,12.8,0.0,3.74,27.7,22.1
33.8,23.7,71.7,6.2,0.0,2.41,22.7,19.1
25.2,12.1,77.8,6.9,0.0,1.23,27.3,25.5
34.4,26.0,50.9,14.0,0.0,3.72,38.6,33.1
31.2,17.5,40.2,8.2,0.0,3.2,18.4,13.6
31.7,20.8,47.1,23.6,0.0,4.28,28.0,21.6
26.7,17.8,50.0,18.6,0.0,3.19,51.6,46.8
26.0,17.7,83.6,5.3,0.0,1.03,52.3,50.8
40.2,29.9,40.8,17.1,0.0,4.97,20.9,13.4
38.0,28.7,57.0,22.1,7.6,4.61,17.8,17.0
24.9,16.1,41.2,10.7,0.0,2.61,56.2,52.3
30.1,21.4,42.3,19.7,0.0,3.92,58.5,52.6
22.3,9.8,57.8,23.1,0.0,2.78,35.1,30.9
35.3,22.3,45.5,7.2,0.0,3.44,24.7,19.5
30.6,16.6,61.6,18.9,0.0,3.33,51.9,46.9
40.9,28.9,56.2,11.4,0.0,4.13,30.1,23.9
28.5,16.3,62.3,9.0,0.0,2.27,34.2,30.8
33.3,21.1,63.8,11.2,0.0,2.98,20.0,15.5
33.4,23.7,63.9,9.4,0.0,2.84,25.2,21.0
39.8,26.6,49.9,12.7,0.0,4.3,19.1,12.6
23.6,14.8,60.9,8.0,0.0,1.64,44.1,41.7
22.3,13.2,81.1,18.3,0.0,1.7,17.0,14.5
33.7,24.4,82.8,18.7,0.0,3.06,53.2,48.6
31.7,19.6,74.7,16.6,12.8,2.88,20.9,26.8
36.3,24.2,84.6,17.6,0.0,3.22,27.1,22.2
28.8,15.3,71.5,18.1,0.0,2.76,46.4,42.3
39.7,30.4,68.8,12.9,19.6,3.73,22.5,32.6
27.1,14.4,70.8,10.1,0.0,1.93,24.7,21.8
41.9,29.4,51.6,7.6,0.0,4.09,23.7,17.6
34.4,24.3,46.2,20.1,0.0,4.36,41.4,34.9
25.9,13.6,64.4,21.0,6.8,2.85,22.0,23.1
25.8,17.2,60.9,16.9,0.0,2.62,33.8,29.9
32.6,18.7,59.3,16.5,0.0,3.46,59.7,54.5
30.5,18.7,56.4,19.4,0.0,3.52,28.9,23.7
38.4,26.4,45.4,20.9,0.0,4.92,20.4,13.0
41.9,31.3,59.8,21.2,0.0,4.92,54.3,46.9
32.5,21.2,45.4,14.3,0.0,3.68,47.7,42.2
22.2,13.5,80.8,22.0,0.0,2.0,42.8,39.8
27.8,15.0,63.2,18.9,0.0,2.95,34.4,29.9
26.2,12.5,82.1,21.4,0.0,2.39,44.9,41.4
26.7,14.1,47.9,13.8,0.0,2.87,34.1,29.8
35.6,26.9,35.8,18.7,0.0,4.69,39.8,32.8
25.6,15.0,71.7,18.7,24.3,2.42,25.1,40.9
26.4,15.6,48.0,24.7,9.0,3.7,32.2,33.9
31.9,23.8,34.5,10.2,0.0,3.6,49.5,44.1
35.7,24.3,51.8,22.4,0.0,4.53,28.5,21.7
34.6,22.4,51.9,5.6,21.4,3.04,17.5,30.1
33.8,24.7,42.6,10.5,6.1,3.62,44.3,43.7
32.0,19.2,33.4,22.8,0.0,4.66,15.7,10.0
41.4,31.9,68.1,10.8,0.0,3.79,38.0,32.3
29.2,16.9,63.0,15.2,0.0,2.83,57.3,53.1
41.1,27.8,44.0,12.0,0.0,4.57,59.4,52.5
25.1,14.9,40.9,9.5,0.0,2.54,43.8,40.0
23.5,12.1,75.1,20.3,23.0,2.2,49.7,64.8
22.1,9.7,70.6,14.9,15.3,1.73,49.5,59.1
27.4,15.4,49.5,16.5,0.0,3.12,28.7,24.0
39.1,26.6,49.0,13.7,0.0,4.32,51.5,45.0
35.7,24.4,82.5,20.5,14.8,3.45,33.4,40.1
37.9,29.6,52.6,11.4,10.7,3.88,45.3,48.0
29.2,17.8,62.6,16.7,0.0,2.97,20.3,15.8
26.4,13.6,57.6,19.1,0.0,2.97,16.7,12.3
37.9,29.5,81.9,9.3,0.0,2.84,17.9,13.6
39.9,26.0,38.0,10.9,20.1,4.52,29.0,38.3
33.8,25.5,69.4,15.6,0.0,3.22,50.5,45.7
23.8,12.3,65.7,15.3,20.3,2.11,59.9,65.0
41.4,28.7,53.0,11.7,11.6,4.32,22.0,24.8
27.1,13.7,83.3,24.0,22.7,2.67,21.4,35.5
32.2,20.3,55.4,24.0,0.0,4.12,38.7,32.6
23.5,10.4,52.7,19.0,0.0,2.76,45.4,41.3
32.1,22.5,64.4,24.2,0.0,3.86,19.9,14.1
22.5,11.5,72.7,11.3,0.0,1.42,56.9,54.8
31.2,21.7,80.5,14.4,0.0,2.48,30.9,27.2
30.5,18.4,53.9,11.5,0.0,2.96,24.1,19.7
26.0,13.9,77.7,9.8,17.4,1.58,42.9,54.5
30.9,22.4,35.0,20.5,0.0,4.31,53.6,47.1
33.5,21.8,81.4,8.3,0.0,2.24,17.6,14.3
29.2,20.3,40.3,23.7,0.0,4.19,55.1,48.9
30.9,19.3,31.8,14.4,0.0,3.9,15.8,10.0
37.8,28.0,54.9,15.7,0.0,4.15,19.5,13.2
33.1,21.9,33.8,17.7,0.0,4.37,19.7,13.1
25.6,12.6,35.7,14.3,5.7,3.14,24.3,24.1
31.9,22.4,35.3,21.0,0.0,4.45,22.1,15.4
31.4,23.0,61.9,11.8,6.2,2.86,30.6,31.2
38.1,29.1,36.0,15.3,0.0,4.72,19.1,12.0
27.7,18.1,40.2,11.3,17.0,3.02,59.5,65.0
34.7,24.5,66.7,16.4,0.0,3.47,43.0,37.8
34.7,25.4,52.9,11.9,9.2,3.53,36.9,38.9
34.0,20.4,43.2,8.0,0.0,3.43,57.4,52.2
31.8,23.1,56.7,7.2,0.0,2.69,46.9,42.8
26.8,13.5,65.1,24.1,0.0,3.19,15.1,10.4
24.4,13.1,82.6,24.9,0.0,2.44,22.8,19.2
25.3,12.7,62.6,16.0,0.0,2.43,47.6,44.0
39.2,29.3,42.2,18.4,0.0,4.91,30.7,23.3
27.4,18.1,44.0,7.7,0.0,2.59,27.6,23.8
34.3,25.8,36.4,15.7,0.0,4.28,27.2,20.8
38.5,29.4,49.8,16.1,0.0,4.42,33.8,27.2
30.0,18.5,47.4,19.2,0.0,3.71,52.0,46.5
27.4,13.5,47.4,22.6,0.0,3.68,26.1,20.6
26.5,13.4,47.0,11.8,24.1,2.72,26.0,41.2
26.9,13.3,79.5,10.0,0.0,1.65,26.2,23.8
23.7,10.8,72.4,10.9,6.7,1.54,49.7,52.8
41.3,31.7,75.0,9.6,0.0,3.47,18.8,13.6
33.7,24.1,80.9,10.8,0.0,2.48,52.8,49.1
30.8,21.3,60.1,21.8,0.0,3.63,21.0,15.5
29.7,15.9,34.0,13.2,0.0,3.59,18.5,13.1
28.9,15.3,31.7,20.0,0.0,4.12,27.5,21.3
26.3,12.8,72.0,7.3,0.0,1.58,43.0,40.6
30.4,19.4,82.3,13.4,0.0,2.25,44.7,41.4
24.4,12.0,58.6,9.5,0.0,1.93,40.1,37.2
34.0,20.2,77.0,9.1,0.0,2.5,15.4,11.6
24.6,15.4,62.8,8.9,0.0,1.78,25.9,23.3
28.7,15.1,84.9,18.7,0.0,2.4,46.9,43.3
37.4,25.0,34.5,11.2,0.0,4.35,31.6,25.1
28.9,16.2,71.1,5.1,0.0,1.74,43.1,40.5
24.4,16.0,75.6,14.1,0.0,1.79,52.1,49.4
39.9,31.6,40.2,10.9,13.2,4.45,51.0,54.8
41.0,27.7,55.2,17.7,0.0,4.69,33.1,26.1
39.4,31.2,59.3,22.5,24.6,4.75,15.6,28.1
39.7,29.6,37.3,8.1,0.0,4.3,54.2,47.7
34.8,21.2,76.3,5.2,0.0,2.3,28.7,25.3
31.1,22.5,45.5,17.7,0.0,3.78,44.1,38.5
40.5,32.4,73.2,17.8,20.2,4.08,25.1,35.1
27.3,18.8,59.4,15.0,0.0,2.69,22.6,18.6
38.8,25.5,59.7,9.9,22.0,3.65,19.3,31.4
22.3,11.4,70.2,14.2,17.9,1.7,43.9,55.7
35.6,26.4,73.8,14.6,0.0,3.23,39.6,34.7
27.7,18.2,30.3,12.9,0.0,3.46,48.4,43.2
23.3,9.8,44.5,12.3,17.0,2.45,46.9,56.8
40.6,30.6,44.2,19.5,0.0,5.11,57.2,49.5
26.1,13.9,33.7,14.6,17.0,3.29,42.1,50.7
23.0,13.1,51.7,10.0,9.3,2.0,50.7,55.1
29.2,19.3,81.8,5.8,0.0,1.52,36.7,34.5
40.9,30.5,68.9,6.4,0.0,3.35,30.5,25.5
32.5,23.6,82.0,18.5,5.6,2.91,33.0,33.1
26.3,16.5,84.9,18.2,0.0,2.07,34.6,31.5
36.2,25.4,48.1,15.4,0.0,4.13,59.1,52.9
31.9,19.1,66.7,14.6,0.0,3.0,30.4,25.9
24.1,11.6,80.5,9.4,0.0,1.23,25.5,23.6
32.6,22.5,36.3,6.1,0.0,3.31,17.1,12.2
24.1,15.2,30.1,8.1,0.0,2.63,51.9,47.9
25.9,17.4,70.1,5.2,0.0,1.41,20.9,18.8
26.6,17.8,43.6,21.0,24.9,3.56,29.7,44.3
40.4,31.3,40.3,16.3,20.4,4.95,34.8,43.7
36.0,26.9,65.3,16.9,0.0,3.71,28.4,22.8
40.7,26.9,77.7,16.4,0.0,3.86,17.6,11.8
40.9,27.2,31.0,12.1,0.0,4.95,18.6,11.2
25.9,12.1,76.6,23.2,6.9,2.67,42.2,43.7
32.0,22.2,78.6,23.0,0.0,3.33,22.0,17.0
25.0,14.1,37.3,14.5,0.0,3.04,54.8,50.2
27.9,16.6,70.9,16.9,0.0,2.58,42.1,38.2
40.0,30.6,60.8,15.9,0.0,4.25,24.2,17.8
24.8,13.1,42.3,17.8,0.0,3.13,57.6,52.9
26.6,17.6,60.8,16.7,0.0,2.71,48.4,44.3
34.0,25.3,73.5,6.6,19.7,2.41,39.7,51.8
36.0,25.7,30.6,11.6,0.0,4.33,25.2,18.7
35.8,23.0,55.0,22.5,0.0,4.44,54.5,47.9
35.2,25.4,56.5,19.2,0.0,4.07,48.2,42.1
33.0,24.4,60.7,6.3,22.5,2.64,37.0,51.1
32.9,23.2,59.9,8.4,0.0,2.82,52.1,47.8
39.1,30.5,60.7,21.2,4.3,4.57,51.8,48.3
37.9,27.2,36.0,15.3,0.0,4.7,38.3,31.3
30.8,19.4,70.0,20.5,0.0,3.24,24.0,19.1
29.9,21.5,54.8,24.4,0.0,3.9,22.0,16.1
27.4,19.0,40.0,14.8,0.0,3.26,24.2,19.3
24.9,13.0,60.7,21.9,21.5,2.92,41.0,53.8
27.3,17.7,51.5,14.2,21.4,2.87,20.5,33.3
31.7,21.4,58.2,22.7,0.0,3.88,15.9,10.1
29.9,17.0,48.0,18.0,0.0,3.58,44.1,38.7
24.2,11.2,83.2,19.3,0.0,1.95,57.7,54.8
41.4,27.8,52.7,20.8,0.0,5.05,23.1,15.5
32.7,20.2,79.3,22.3,13.2,3.33,36.5,42.1
40.0,32.0,70.6,17.4,0.0,4.07,35.6,29.5
35.2,21.3,70.9,6.3,20.9,2.6,30.1,42.9
36.1,23.9,84.7,14.4,0.0,2.95,17.2,12.8
31.3,22.1,76.2,21.8,0.0,3.21,29.3,24.5
36.0,23.6,66.2,24.9,0.0,4.34,33.8,27.3
28.5,17.0,75.0,14.5,0.0,2.34,15.9,12.4
40.5,27.9,51.7,12.7,20.8,4.33,49.6,59.7
34.6,26.0,44.4,14.2,0.0,3.95,34.5,28.6
26.5,16.4,65.9,22.8,0.0,3.03,46.1,41.6
24.7,13.5,80.7,5.6,0.0,0.99,21.0,19.5
32.7,20.6,33.2,6.4,0.0,3.44,35.5,30.4
31.3,17.6,47.6,22.9,0.0,4.16,25.9,19.6
32.3,21.1,77.6,11.1,0.0,2.43,58.7,55.1
38.8,25.4,69.0,23.1,18.4,4.43,47.9,56.0
30.8,22.3,64.2,6.0,0.0,2.25,32.7,29.3
42.0,32.2,75.1,6.1,0.0,3.27,39.2,34.2
34.6,21.7,71.9,20.2,0.0,3.61,47.7,42.3
31.8,23.4,79.0,22.8,0.0,3.27,56.1,51.2
37.2,26.8,48.2,24.5,0.0,4.97,32.0,24.6
34.8,23.4,58.8,17.9,0.0,3.85,44.5,38.7
40.2,26.2,69.0,23.6,0.0,4.63,28.3,21.3
40.7,32.2,48.1,17.8,0.0,4.86,39.4,32.1
37.9,28.7,84.0,13.7,0.0,3.13,32.2,27.5
34.0,23.3,67.2,8.7,0.0,2.76,18.1,13.9
34.0,20.2,32.5,18.2,0.0,4.56,24.6,17.7
27.5,18.3,46.4,7.2,0.0,2.48,31.6,27.9
38.1,25.3,73.8,16.3,0.0,3.67,33.5,28.0
28.4,16.9,81.6,10.7,0.0,1.81,44.5,41.8
38.9,29.4,45.4,22.7,15.9,5.12,53.7,58.8
40.4,32.4,50.3,10.1,0.0,4.15,43.5,37.3
42.0,30.9,60.3,13.3,9.0,4.29,26.1,26.9
38.0,26.7,46.3,14.8,0.0,4.36,23.3,16.8
39.2,25.5,34.4,20.3,0.0,5.3,32.5,24.6
35.8,26.2,31.1,9.3,2.8,4.1,29.5,25.5
31.5,19.1,47.9,8.9,0.0,3.05,55.1,50.5
26.1,12.8,54.6,23.7,0.0,3.39,23.0,17.9
33.0,21.5,65.0,13.2,16.4,3.07,57.0,65.0
41.2,29.6,31.1,7.1,0.0,4.57,52.3,45.5
40.9,29.5,77.5,21.5,0.0,4.3,50.3,43.8
24.5,12.7,82.4,8.2,0.0,1.13,29.4,27.7
38.3,26.2,80.9,19.2,0.0,3.71,15.5,10.0
37.9,27.4,66.9,7.1,0.0,3.1,34.6,30.0
40.4,28.2,36.7,16.6,0.0,5.07,51.0,43.4
30.4,16.6,44.8,12.5,0.0,3.3,25.5,20.5
32.3,19.9,65.4,8.1,0.0,2.56,40.8,36.9
33.2,20.2,40.1,20.0,0.0,4.38,47.5,40.9
32.1,21.7,51.7,19.7,0.0,3.88,30.2,24.4
34.5,21.5,33.4,24.4,13.8,5.1,40.2,43.6
24.8,11.3,55.9,7.9,0.0,1.92,44.9,42.0
